158,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,36,2,3,22,Increase,No,ICT managers,ICT professionals,"ICT business analysts, systems analysts and programmers",Developer programmers,,,,,,,,,,,,,"$1,000,000 to $4,999,999",25,75,,,Yes,Yes,Stay the same,Stay the same,Irregularly,,,,Computer services,,,,,,,,,,,,,,,North America,,,,,USA,,,,,India,China,,,,Developing new products and services,40,Neither a barrier nor an enabler,Major Barrier,Major Barrier,Major Barrier,Barrier,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Major Enabler,Barrier,Major Barrier,Barrier,Major Enabler,Not Applicable
159,Computer software consulting,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,11,,1,,Increase,No,,,"ICT business analysts, systems analysts and programmers",,,,,,,,,,Research and development,,,,"$1,000,000 to $4,999,999",30,50,,20,Yes,No,Increase,Stay the same,Irregularly,,,,,,,,,,,Other,South East Asia,,,,,,,North America,,,,,Philippines,South Korea,USA,,,USA,EU,Singapore,,,Developing new products and services,12.5,Barrier,Major Barrier,Major Barrier,Barrier,Barrier,Major Enabler,Neither a barrier nor an enabler,Major Enabler,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Major Enabler
160,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,4,,,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$500,000 to $999,999",40,60,,,Yes,No,Increase,Decrease,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,25,Major Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Barrier
161,Systems analysis and computer programming,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,30,5,,,Increase,Yes,,,"ICT business analysts, systems analysts and programmers",Developer programmers,,,,,,,,,,,,,"$1,000,000 to $4,999,999",50,50,,,Yes,No,Stay the same,Decrease,Irregularly,,,Computer software,,,,,,,,,,,,,,,,,,,Oceania and Pacific Islands,,New Zealand,,,,,New Zealand,Singapore,Germany,USA,Indonesia,Developing new products and services,20,Barrier,Major Barrier,Neither a barrier nor an enabler,Barrier,Major Barrier,Major Barrier,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier,Barrier,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Barrier
162,Manufacturing – ICT equipment,Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,18,1,,35,Increase,No,,,,,,,,,,,ICT sales,,,,,,"More than $10,000,000",5.7,6.9,72.4,15,Yes,No,Increase,Decrease,Regularly,,"Other ICT and telecommunications equipment, parts and components",,,,,,,,,,South East Asia,East Asia,South Asia,,,,,North America,,,,,North America,Indonesia,China,UK,New Zealand,North America,Indonesia,China,New Zealand,Vietnam,Developing new products and services,13,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Enabler,Enabler
163,Internet and web design consulting,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,4,10,10,,Decrease,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$1,000,000 to $4,999,999",80,20,,,No,No,Increase,Decrease,Irregularly,,,,Computer services,,,,,,,,South East Asia,,,,,,,North America,,,,,China,Argentina,,,,China,Indonesia,Singapore,,,Customising/modifying existing products and services,10,Major Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Major Barrier,Major Barrier,Barrier,Barrier,Barrier,Barrier,Neither a barrier nor an enabler
164,"Internet and data services (incl. data centre hosting, cloud services)",Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,5,2,,,Increase,Yes,,,,,Database and systems administrators,,,,,,,,,"Business management, human resources and other support functions",,,"$1,000,000 to $4,999,999",30,50,,20,Yes,Yes,Increase,Increase,Regularly,,,,,,,,,,,Other,South East Asia,,,,,Western Europe,,North America,,,,,USA,France,UK,Hong Kong,Singapore,USA,France,UK,Hong Kong,Canada,Customising/modifying existing products and services,10,Enabler,Barrier,Barrier,Barrier,Barrier,Major Barrier,Major Barrier,Barrier,Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier
166,Systems analysis and computer programming,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,10,1,,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$1,000,000 to $4,999,999",95,5,,,Yes,Yes,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implementing new or significantly improved operational processes,5,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
167,Internet publishing,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,1,1,,,Increase,Yes,,,,,,,,,,,,,,,,Other,"$0 to $199,999",85,15,,,Yes,No,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implementing new or significantly improved organisational processes/structures,0,Major Enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
168,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,Less than 2 years,11,3,,,Increase,Yes,,,,,,,,,,,ICT sales,,,,,,"$500,000 to $999,999",40,40,,20,No,No,Increase,Stay the same,Regularly,,,Computer software,Computer services,,,,,,,,South East Asia,,,,,Western Europe,,North America,Central America and Caribbean,,Oceania and Pacific Islands,,USA,Fiji,Dutch Antilles,Thailand,New Zealand,South Africa,Thailand,Fiji,Dutch Antilles,New Zealand,Developing new products and services,20,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Major Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier
170,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,19,2,,4,Increase,No,,,,Developer programmers,,,,,,,,,,,,,"More than $10,000,000",5,13,,82,Yes,Yes,Increase,Stay the same,Regularly,,,Computer software,Computer services,,,,,,,,South East Asia,East Asia,South Asia,Middle East,Eastern Europe and Russia,Western Europe,Africa,North America,Central America and Caribbean,South America,Oceania and Pacific Islands,,USA,UK,Brazil,New Zealand,South Africa,USA,UK,Brazil,New Zealand,Singapore,Implementing new or significantly improved operational processes,30,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Not Applicable,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Enabler,Enabler
171,Internet and web design consulting,Privately owned (100% Australian),Metropolitan Melbourne,Less than 2 years,2,2,,,Increase,Yes,,ICT professionals,"ICT business analysts, systems analysts and programmers",Developer programmers,Database and systems administrators,ICT security specialists,ICT network and support professionals (e.g. computer network and systems engineers),"Software engineers, testers and app programmers","Technicians – ICT, telecommunications and electronics",,,,,,,,"$200,000 to $499,999",100,,,,No,No,Increase,Increase,Regularly,,,Computer software,Computer services,Internet and web design,Internet publishing and broadcasting,,,,,,South East Asia,,,,,,,North America,,,Oceania and Pacific Islands,,USA,Singapore,Oceania,,,USA,South East Asia,,,,Implementing new or significantly improved operational processes,0,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Major Barrier
172,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,18,,,,Increase,No,,,,Developer programmers,,,ICT network and support professionals (e.g. computer network and systems engineers),"Software engineers, testers and app programmers",,,ICT sales,,,,,,"$1,000,000 to $4,999,999",80,20,,,Yes,No,Increase,Decrease,Irregularly,,,Computer software,Computer services,,,,,,,,,,,,,,,,,,Oceania and Pacific Islands,,New Zealand,,,,,China,USA,Taiwan,Canada,UK,Developing new products and services,16,Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier,Major Barrier,Major Barrier
173,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,5,,,,Increase,Yes,,,,,,,,,,,,,,,,,"$500,000 to $999,999",10,50,,40,Yes,No,Increase,Stay the same,Regularly,,,Computer software,,,,,,,,,,,,,,,Africa,North America,,,Oceania and Pacific Islands,,New Zealand,USA,South Africa,,,USA,New Zealand,South Africa,,,Developing new products and services,25,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Barrier,Enabler,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler
175,Computer software publishing,Privately owned (100% Australian),Metropolitan Melbourne,Less than 2 years,,2,,,Stay the same,Yes,,ICT professionals,,,,,,,,,,,,,,,"$0 to $199,999",,,,,No,No,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,100,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier,Barrier,Enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Barrier,Barrier
176,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,,8,1,,Increase,No,,,,,,,,,,,,,,,,,"$0 to $199,999",10,10,,80,No,No,Increase,Increase,Regularly,,,Computer software,Computer services,Internet and web design,Internet publishing and broadcasting,Information storage and retrieval,,,Wholesale and retail trade margins,,South East Asia,,,Middle East,,Western Europe,,North America,,,,,USA,UK,Canada,Singapore,UAE,USA,Canada,UK,EU,Asia,Developing new products and services,90,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Major Barrier,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier
177,Telecommunications services,Listed on ASX,Metropolitan Melbourne,5 to 9 years,123,2,6,,Stay the same,Yes,,ICT professionals,,,,ICT security specialists,,,,,,,,,,,"More than $10,000,000",20.3,78.9,0.8,,Yes,No,Stay the same,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implementing new or significantly improved organisational processes/structures,0,Barrier,Barrier,Neither a barrier nor an enabler,Not Applicable,Not Applicable,Not Applicable,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Not Applicable,Neither a barrier nor an enabler,Barrier,Barrier,Not Applicable,Not Applicable,Not Applicable
178,Internet and web design consulting,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,,,,,Increase,Yes,,,,,,,,,,,,,,,,,"$0 to $199,999",80,20,,,Yes,No,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implementing new or significantly improved organisational processes/structures,0,Barrier,Major Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Not Applicable,Not Applicable,Enabler,Enabler,Not Applicable,Not Applicable,Barrier,Barrier,Not Applicable,Not Applicable,Not Applicable
179,Internet and web design consulting,Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,5,4,,,Increase,Yes,,,,,,,,"Software engineers, testers and app programmers",,,ICT sales,,,,,,"$500,000 to $999,999",80,10,,10,Yes,Yes,Increase,Increase,Regularly,,,,,Internet and web design,,,,,,,,,,,,,,North America,,,,,North America,,,,,North America,EU,South East Asia,,,Implementing new or significantly improved organisational processes/structures,5,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Barrier,Neither a barrier nor an enabler,Enabler,Enabler
180,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,11,6,4,,Increase,No,,,,Developer programmers,,,,"Software engineers, testers and app programmers","Technicians – ICT, telecommunications and electronics","Trades workers – Electrotechnology, electronics and  telecommunications",,,,,,,"$1,000,000 to $4,999,999",40,50,10,,Yes,No,Increase,Stay the same,Irregularly,,,Computer software,Computer services,,,,Hardware and software maintenance,,,,South East Asia,,,,,Western Europe,,,,,Oceania and Pacific Islands,,New Zealand,Belgium,France,,,New Zealand,Belgium,,,,Developing new products and services,15,Major Barrier,Major Barrier,Barrier,Barrier,Major Barrier,Major Barrier,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Enabler,Major Barrier,Barrier,Barrier,Major Enabler,Barrier,Neither a barrier nor an enabler,Barrier
181,Computer software consulting,Listed on foreign exchange,Overseas,10 to 19 years,1200,400,1100,,Increase,No,ICT managers,ICT professionals,"ICT business analysts, systems analysts and programmers",Developer programmers,,ICT security specialists,,"Software engineers, testers and app programmers",,,ICT sales,,,"Business management, human resources and other support functions",,,"More than $10,000,000",63.6,36.4,,,Yes,No,Stay the same,Decrease,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,,Enabler,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Enabler,Enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
183,Telecommunications services,Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,3,,,,Increase,Yes,,,,,,,,,,,,,,,,Other,"$0 to $199,999",100,,,,Yes,Yes,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,0,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Barrier,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Barrier,Major Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
184,Internet publishing,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,13,,1,,Increase,Yes,,,,Developer programmers,,,,,,,,,,,,,"$1,000,000 to $4,999,999",70,30,,,Yes,Yes,Increase,Increase,Irregularly,,,Computer software,,,,,,,,,,,,,,,,North America,,,,,USA,,,,,USA,,,,,Developing new products and services,20,Barrier,Barrier,Barrier,Major Barrier,Barrier,Barrier,Major Barrier,Barrier,Barrier,Barrier,Major Barrier,Barrier,Major Barrier,Barrier,Major Barrier,Barrier,Barrier,Major Barrier
185,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,,,,1,Increase,Yes,,,,,,,,,,,,,,,,,"$200,000 to $499,999",,,,,,,,,Regularly,,,Computer software,Computer services,,,,,,,,South East Asia,East Asia,,,,,,North America,,,,,Singapore,Hong Kong,USA,,,Singapore,USA,Hong Kong,Malaysia,Indonesia,Customising/modifying existing products and services,,,Major Barrier,,Major Barrier,Major Barrier,Barrier,,,,,,,,,,,,
187,Systems analysis and computer programming,Privately owned (100% Australian),Metropolitan Melbourne,Less than 2 years,,,,,Stay the same,Yes,,,,,,,,,,,,,,,,,"$0 to $199,999",,70,,30,Yes,Yes,Stay the same,Increase,Regularly,,,,Computer services,,,,,,,,,,,,,Western Europe,,,,,,,UK,,,,,UK,,,,,,,,,,,,,,,,,,,,,,,,
188,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,8,1,,,Increase,Yes,,,,Developer programmers,,,,"Software engineers, testers and app programmers",,,,,,,,,"$1,000,000 to $4,999,999",30,40,,30,Yes,Yes,Increase,Increase,Regularly,,,Computer software,Computer services,,,,,,,,,,,,Eastern Europe and Russia,,,North America,,,Oceania and Pacific Islands,,North America,EU,New Zealand,,,South America,China,EU,New Zealand,North America,Customising/modifying existing products and services,50,Major Enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,,Barrier,Not Applicable,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Enabler,Neither a barrier nor an enabler,Enabler
189,Wholesaling – ICT goods,Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,21,4,,,Decrease,Yes,,ICT professionals,,,,,,,,,ICT sales,,,,,,"$1,000,000 to $4,999,999",50,10,,40,Yes,Yes,Decrease,Decrease,Regularly,,"Other ICT and telecommunications equipment, parts and components",,,,,,,,,,South East Asia,,,,,,,,,,,,Malaysia,,,,,,,,,,Customising/modifying existing products and services,0,Major Barrier,Major Barrier,Barrier,Barrier,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Barrier,Barrier
190,Computer software publishing,Listed on foreign exchange,Overseas,10 to 19 years,121,35,461,14000,Decrease,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"More than $10,000,000",25,75,,,Yes,Yes,Stay the same,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,30,Neither a barrier nor an enabler,Major Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Barrier,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler
191,Computer software consulting,Privately owned (100% Australian),Regional Victoria,5 to 9 years,12,1,55,12,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"More than $10,000,000",22,68,,10,Yes,Yes,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,,,,,Customising/modifying existing products and services,,Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
192,Systems analysis and computer programming,Privately owned (100% Australian),Interstate,20 or more years,120,30,120,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"More than $10,000,000",60,40,,,Yes,No,Increase,Increase,Irregularly,,,,Computer services,,,,,,,,South East Asia,,,,,,,,,,,,,,,,,South East Asia,USA,EU,,,Developing new products and services,5,Enabler,Neither a barrier nor an enabler,Enabler,Barrier,Barrier,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Not Applicable,Enabler,Enabler,Major Enabler,Barrier,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Barrier
193,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,10,,1,,Increase,Yes,,,"ICT business analysts, systems analysts and programmers",Developer programmers,,,,,,,,,,,,,"$1,000,000 to $4,999,999",45,45,,10,Yes,No,Stay the same,Stay the same,Irregularly,,,Computer software,,Internet and web design,,,,,,,,,,,,,,,,,Oceania and Pacific Islands,,New Zealand,,,,,New Zealand,Singapore,,,,Developing new products and services,15,Major Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Major Enabler,Enabler,Barrier,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier
196,Computer software consulting,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,35,5,35,,Increase,Yes,,ICT professionals,,,,,,,,,ICT sales,,,,,,"More than $10,000,000",40,60,,,Yes,No,Increase,Decrease,Never,,,,,,,,,,,,,,South Asia,,,,,,,,,,,,,,,,,,,,Developing new products and services,3,Barrier,Barrier,Major Enabler,Major Enabler,Barrier,Not Applicable,Enabler,Enabler,Enabler,Enabler,Enabler,Barrier,Enabler,Barrier,Not Applicable,Not Applicable,Not Applicable,Not Applicable
197,Internet and web design consulting,Privately owned (100% Australian),Regional Victoria,5 to 9 years,4,1,,,Stay the same,Yes,,,,Developer programmers,,,,,,,,,,,,,"$0 to $199,999",80,,20,,No,No,Increase,Increase,Irregularly,,,,,Internet and web design,,,,,,,,,,,,,,,,,Oceania and Pacific Islands,,New Zealand,,,,,USA,EU,New Zealand,South Africa,,Developing new products and services,80,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Not Applicable,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier
200,Manufacturing – ICT equipment,Privately owned (50-100% foreign owned),Overseas,10 to 19 years,25,3,3,300,Increase,Yes,,,,,,,,,,,,,,,,,"More than $10,000,000",10,10,80,,Yes,Yes,Increase,Increase,Regularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,7,7,,,Stay the same,,,,,Developer programmers,Database and systems administrators,,,,,,,,,,,,"$1,000,000 to $4,999,999",10,65,,25,Yes,No,Increase,Stay the same,Regularly,,,,,,Internet publishing and broadcasting,,,,,,South East Asia,,,,Eastern Europe and Russia,Western Europe,,North America,,South America,,,USA,UK,EU,Russia,Japan,USA,UK,EU,Russia,Japan,Implementing new or significantly improved operational processes,0,Enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler
202,Internet and web design consulting,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,25,,,,Increase,Yes,,ICT professionals,,Developer programmers,,,,,,,,,,,,,"$1,000,000 to $4,999,999",90,10,,,Yes,Yes,Increase,Stay the same,Irregularly,,,,,Internet and web design,,,,,,,,,,,,Western Europe,,,,,,,Germany,,,,,Germany,,,,,Implementing new or significantly improved operational processes,5,Major Barrier,Major Barrier,Major Barrier,Enabler,Barrier,Barrier,Major Enabler,Enabler,Enabler,Major Barrier,Enabler,Neither a barrier nor an enabler,Major Enabler,Barrier,Neither a barrier nor an enabler,Barrier,Enabler,Enabler
203,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,19,2,2,2,Increase,Yes,,,,,,,,,,,,,Research and development,,,,"$1,000,000 to $4,999,999",20,20,,60,Yes,Yes,Increase,Stay the same,Regularly,,,Computer software,,,,,,,,,,,,,Eastern Europe and Russia,Western Europe,Africa,North America,,South America,,,UK,USA,,,,USA,UK,Italy,Germany,Brazil,Developing new products and services,40,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Major Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler
204,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Interstate,5 to 9 years,,,2,,Decrease,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$200,000 to $499,999",80,20,,,Yes,Yes,Stay the same,Stay the same,Irregularly,,,,,,,,,,,Other,South East Asia,,,,,Western Europe,,North America,,,,,USA,UK,China,,,,,,,,Developing new products and services,5,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Barrier
205,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,15,6,,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$1,000,000 to $4,999,999",60,40,,,Yes,Yes,Increase,Increase,Irregularly,,,Computer software,,,Internet publishing and broadcasting,,,,,,South East Asia,,,,,,,,,,,,,,,,,South East Asia,EU,USA,,,Developing new products and services,5,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Major Enabler,Enabler,Enabler,Barrier,Neither a barrier nor an enabler,Barrier,Major Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Barrier
